name,subscribers
Argentina,4968423
Australia,6169026
Austria,927420
Belgium,1639040
Brazil,17858800
Bulgaria,171600
Canada,6709076
Chile,927415
Colombia,2677007
Costa Rica,291852
Croatia,114950
Cyprus,49200
Czech Republic,455520
Denmark,918240
Estonia,52460
Finland,735440
France,8344620
Germany,10666560
Greece,516450
Hungary,338100
India,4845640
Indonesia,850000
Ireland,528120
Italy,3678080
Japan,5000000
Latvia,56700
Lithuania,138030
Luxembourg,83520
Malta,30090
Mexico,8180311
Netherlands,2750000
New Zealand,1263190
Norway,1962668
Poland,1733450
Portugal,692310
Romania,464000
Russia,184878
Singapore,446472
Slovak Republic,189420
Slovenia,92340
South Africa,349000
South Korea,4002920
Spain,4762560
Sweden,1713260
Switzerland,1428631
Turkey,3081300
UAE,425993
United Kingdom,12716400
United States,67670924
Vietnam,316020